,fullyLoaded,bytesIn,requests,bytes.html,requests.html,bytes.js,requests.js,bytes.css,requests.css,bytes.image,requests.image,bytes.font,requests.font,bytes.video,requests.video,bytes.other,requests.other,id
735,15355.0,2362585.0,134.0,100651.0,10.0,574689.0,24.0,113674.0,14.0,1163195.0,74.0,406520.0,8.0,0.0,0.0,2706.0,3.0,221010_W2_TK
736,26636.0,12637868.0,109.0,35120.0,2.0,847246.0,12.0,148977.0,4.0,11527403.0,80.0,76440.0,5.0,0.0,0.0,2682.0,6.0,221010_9K_TM
737,4741.0,81267.0,10.0,6402.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,72228.0,2.0,0.0,0.0,2637.0,2.0,221010_A5_TN
738,18908.0,1224190.0,100.0,3816.0,8.0,638209.0,43.0,20819.0,8.0,240281.0,11.0,140548.0,2.0,0.0,0.0,179367.0,27.0,221010_5S_TP
739,120833.0,1012544.0,95.0,36158.0,2.0,321727.0,30.0,632744.0,59.0,18638.0,1.0,0.0,0.0,0.0,0.0,3277.0,2.0,221010_R8_TQ
740,17531.0,4610291.0,89.0,28622.0,4.0,1230165.0,35.0,103194.0,13.0,1680667.0,20.0,1068592.0,10.0,0.0,0.0,499051.0,7.0,221010_NT_TR
741,123429.0,45506859.0,653.0,119418.0,1.0,410079.0,18.0,96253.0,14.0,44877361.0,609.0,0.0,0.0,0.0,0.0,3748.0,9.0,221010_WA_TS
742,17201.0,6336125.0,350.0,25846.0,2.0,260601.0,12.0,52463.0,11.0,5878845.0,318.0,115092.0,4.0,0.0,0.0,2803.0,2.0,221010_WA_TT
743,17040.0,1989295.0,140.0,147665.0,32.0,839137.0,36.0,223457.0,10.0,721262.0,42.0,43572.0,1.0,0.0,0.0,13473.0,18.0,221010_6A_TV
744,18112.0,3331708.0,136.0,52889.0,1.0,509576.0,37.0,293067.0,43.0,2234234.0,42.0,238700.0,8.0,0.0,0.0,3242.0,5.0,221010_V1_TW
745,21654.0,1488715.0,148.0,114627.0,11.0,611661.0,48.0,134245.0,48.0,385535.0,28.0,229232.0,6.0,0.0,0.0,13415.0,7.0,221010_VD_TX
746,69718.0,1611253.0,168.0,236560.0,31.0,727850.0,42.0,187814.0,13.0,146019.0,39.0,298428.0,13.0,0.0,0.0,14582.0,29.0,221010_RD_TZ
747,18917.0,6579138.0,84.0,263716.0,1.0,357474.0,14.0,368428.0,13.0,5342950.0,47.0,243932.0,4.0,0.0,0.0,2638.0,5.0,221010_KB_V0
748,15534.0,4934324.0,46.0,38577.0,2.0,181703.0,9.0,106854.0,2.0,4507010.0,26.0,97506.0,4.0,0.0,0.0,2674.0,3.0,221010_R3_V1
749,6553.0,227123.0,31.0,11104.0,1.0,132089.0,6.0,5757.0,2.0,23216.0,17.0,52344.0,1.0,0.0,0.0,2613.0,4.0,221010_KZ_V2
750,39486.0,2565732.0,205.0,183248.0,30.0,1540036.0,95.0,93514.0,7.0,351704.0,30.0,115873.0,4.0,0.0,0.0,277528.0,38.0,221010_8P_V4
